DateKey,Date,Day,WeekNr,Month,MonthShort,MonthNr,Quarter,Year
20220101,2022-01-01,Saturday,1,January,Jan,1,1,2022
20220102,2022-01-02,Sunday,2,January,Jan,1,1,2022
20220103,2022-01-03,Monday,2,January,Jan,1,1,2022
20220104,2022-01-04,Tuesday,2,January,Jan,1,1,2022
20220105,2022-01-05,Wednesday,2,January,Jan,1,1,2022
20220106,2022-01-06,Thursday,2,January,Jan,1,1,2022
20220107,2022-01-07,Friday,2,January,Jan,1,1,2022
20220108,2022-01-08,Saturday,2,January,Jan,1,1,2022
20220109,2022-01-09,Sunday,3,January,Jan,1,1,2022
20220110,2022-01-10,Monday,3,January,Jan,1,1,2022
20220111,2022-01-11,Tuesday,3,January,Jan,1,1,2022
20220112,2022-01-12,Wednesday,3,January,Jan,1,1,2022
20220113,2022-01-13,Thursday,3,January,Jan,1,1,2022
20220114,2022-01-14,Friday,3,January,Jan,1,1,2022
20220115,2022-01-15,Saturday,3,January,Jan,1,1,2022
20220116,2022-01-16,Sunday,4,January,Jan,1,1,2022
20220117,2022-01-17,Monday,4,January,Jan,1,1,2022
20220118,2022-01-18,Tuesday,4,January,Jan,1,1,2022
20220119,2022-01-19,Wednesday,4,January,Jan,1,1,2022
20220120,2022-01-20,Thursday,4,January,Jan,1,1,2022
20220121,2022-01-21,Friday,4,January,Jan,1,1,2022
20220122,2022-01-22,Saturday,4,January,Jan,1,1,2022
20220123,2022-01-23,Sunday,5,January,Jan,1,1,2022
20220124,2022-01-24,Monday,5,January,Jan,1,1,2022
20220125,2022-01-25,Tuesday,5,January,Jan,1,1,2022
20220126,2022-01-26,Wednesday,5,January,Jan,1,1,2022
20220127,2022-01-27,Thursday,5,January,Jan,1,1,2022
20220128,2022-01-28,Friday,5,January,Jan,1,1,2022
20220129,2022-01-29,Saturday,5,January,Jan,1,1,2022
20220130,2022-01-30,Sunday,6,January,Jan,1,1,2022
20220131,2022-01-31,Monday,6,January,Jan,1,1,2022
20220201,2022-02-01,Tuesday,6,February,Feb,2,1,2022
20220202,2022-02-02,Wednesday,6,February,Feb,2,1,2022
20220203,2022-02-03,Thursday,6,February,Feb,2,1,2022
20220204,2022-02-04,Friday,6,February,Feb,2,1,2022
20220205,2022-02-05,Saturday,6,February,Feb,2,1,2022
20220206,2022-02-06,Sunday,7,February,Feb,2,1,2022
20220207,2022-02-07,Monday,7,February,Feb,2,1,2022
20220208,2022-02-08,Tuesday,7,February,Feb,2,1,2022
20220209,2022-02-09,Wednesday,7,February,Feb,2,1,2022
20220210,2022-02-10,Thursday,7,February,Feb,2,1,2022
20220211,2022-02-11,Friday,7,February,Feb,2,1,2022
20220212,2022-02-12,Saturday,7,February,Feb,2,1,2022
20220213,2022-02-13,Sunday,8,February,Feb,2,1,2022
20220214,2022-02-14,Monday,8,February,Feb,2,1,2022
20220215,2022-02-15,Tuesday,8,February,Feb,2,1,2022
20220216,2022-02-16,Wednesday,8,February,Feb,2,1,2022
20220217,2022-02-17,Thursday,8,February,Feb,2,1,2022
20220218,2022-02-18,Friday,8,February,Feb,2,1,2022
20220219,2022-02-19,Saturday,8,February,Feb,2,1,2022
20220220,2022-02-20,Sunday,9,February,Feb,2,1,2022
20220221,2022-02-21,Monday,9,February,Feb,2,1,2022
20220222,2022-02-22,Tuesday,9,February,Feb,2,1,2022
20220223,2022-02-23,Wednesday,9,February,Feb,2,1,2022
20220224,2022-02-24,Thursday,9,February,Feb,2,1,2022
20220225,2022-02-25,Friday,9,February,Feb,2,1,2022
20220226,2022-02-26,Saturday,9,February,Feb,2,1,2022
20220227,2022-02-27,Sunday,10,February,Feb,2,1,2022
20220228,2022-02-28,Monday,10,February,Feb,2,1,2022
20220301,2022-03-01,Tuesday,10,March,Mar,3,1,2022
20220302,2022-03-02,Wednesday,10,March,Mar,3,1,2022
20220303,2022-03-03,Thursday,10,March,Mar,3,1,2022
20220304,2022-03-04,Friday,10,March,Mar,3,1,2022
20220305,2022-03-05,Saturday,10,March,Mar,3,1,2022
20220306,2022-03-06,Sunday,11,March,Mar,3,1,2022
20220307,2022-03-07,Monday,11,March,Mar,3,1,2022
20220308,2022-03-08,Tuesday,11,March,Mar,3,1,2022
