ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesAmount
381,20220101,20220113,20220108,16942,1000.4375
375,20220101,20220113,20220108,15114,2181.5625
369,20220101,20220113,20220108,15116,2443.35
337,20220101,20220113,20220108,20576,782.99
370,20220101,20220113,20220108,13059,2443.35
370,20220101,20220113,20220108,13085,2443.35
352,20220101,20220113,20220108,20186,2071.4196
337,20220101,20220113,20220108,15199,782.99
377,20220101,20220113,20220108,21200,2181.5625
387,20220102,20220114,20220109,19172,1000.4375
356,20220102,20220114,20220109,11484,2071.4196
369,20220102,20220114,20220109,13592,2443.35
373,20220102,20220114,20220109,13779,2181.5625
371,20220102,20220114,20220109,24778,2181.5625
368,20220102,20220114,20220109,13093,2443.35
375,20220102,20220114,20220109,24976,2181.5625
375,20220102,20220114,20220109,25046,2181.5625
368,20220102,20220114,20220109,25048,2443.35
360,20220102,20220114,20220109,12570,2049.0982
362,20220103,20220115,20220110,11604,2049.0982
371,20220103,20220115,20220110,13667,2181.5625
370,20220103,20220115,20220110,16046,2443.35
385,20220103,20220115,20220110,17095,1000.4375
368,20220103,20220115,20220110,12918,2443.35
368,20220103,20220115,20220110,28663,2443.35
369,20220103,20220115,20220110,21191,2443.35
373,20220103,20220115,20220110,20999,2181.5625
370,20220103,20220115,20220110,21002,2443.35
358,20220103,20220115,20220110,12354,2049.0982
321,20220103,20220115,20220110,26019,782.99
379,20220104,20220116,20220111,15100,2181.5625
371,20220104,20220116,20220111,15101,2181.5625
385,20220104,20220116,20220111,13992,1000.4375
375,20220104,20220116,20220111,24781,2181.5625
375,20220104,20220116,20220111,13060,2181.5625
371,20220104,20220116,20220111,13226,2181.5625
360,20220104,20220116,20220111,12341,2049.0982
354,20220104,20220116,20220111,12346,2071.4196
362,20220104,20220116,20220111,12576,2049.0982
373,20220105,20220117,20220112,15699,2181.5625
379,20220105,20220117,20220112,12980,2181.5625
370,20220105,20220117,20220112,28766,2443.35
358,20220105,20220117,20220112,20206,2049.0982
373,20220105,20220117,20220112,21183,2181.5625
370,20220105,20220117,20220112,21199,2443.35
369,20220106,20220118,20220113,13056,2443.35
368,20220106,20220118,20220113,13057,2443.35
360,20220106,20220118,20220113,26127,2049.0982
360,20220106,20220118,20220113,26252,2049.0982
